method,grid,layout,seed,evaluation_seed,rows,cols,n_states,training_episodes,mcts_simulations,exploration_weight,training_time_seconds,mean_decision_time,decisions_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
Q-learning,8x8,1,1,10001,8,8,64,3000,0,0.0,0.6019281999906525,1.8124280008487403e-05,55174.6055309072,1.0,0.0,0.0,3.6666666666666665,1.699673171197595,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,8x8,1,1,10001,8,8,64,0,200,0.5,0.0,0.14803788634228773,6.755027545366575,0.6666666666666666,0.3333333333333333,0.0,-3.0,10.03327796219494,7.333333333333333,7.333333333333333,0.6296296296296297,0.3333333333333333
Q-learning,8x8,1,2,10002,8,8,64,3000,0,0.0,0.6020281000528485,1.688402001745999e-05,59227.600948464096,1.0,0.0,0.0,1.6666666666666667,0.4714045207910317,9.333333333333334,9.333333333333334,1.0,1.0
MCTS,8x8,1,2,10002,8,8,64,0,200,0.5,0.0,0.17455800001411453,5.728754911944118,0.0,1.0,0.0,-15.333333333333334,6.847546194724712,6.333333333333333,9.333333333333334,0.0,0.0
Q-learning,8x8,2,0,10000,8,8,64,3000,0,0.0,0.6397584000369534,1.8071940005756915e-05,55334.40237636051,1.0,0.0,0.0,3.3333333333333335,1.247219128924647,7.666666666666667,7.666666666666667,1.0,1.0
MCTS,8x8,2,0,10000,8,8,64,0,200,0.5,0.0,0.1293573273049498,7.7305245928789015,0.3333333333333333,0.6666666666666666,0.0,-6.0,7.788880963698615,3.6666666666666665,7.666666666666667,0.3333333333333333,0.3333333333333333
Q-learning,8x8,2,1,10001,8,8,64,3000,0,0.0,0.6460177999688312,1.8226239993236958e-05,54865.95152763602,1.0,0.0,0.0,8.0,2.160246899469287,3.0,3.0,1.0,1.0
MCTS,8x8,2,1,10001,8,8,64,0,200,0.5,0.0,0.13282740998547524,7.528566582073313,1.0,0.0,0.0,7.666666666666667,2.6246692913372702,3.3333333333333335,3.0,0.9523809523809524,0.6666666666666666
Q-learning,8x8,2,2,10002,8,8,64,3000,0,0.0,0.6341407001018524,1.7305520013906062e-05,57785.03039472017,1.0,0.0,0.0,5.666666666666667,3.299831645537222,5.333333333333333,5.333333333333333,1.0,1.0
MCTS,8x8,2,2,10002,8,8,64,0,200,0.5,0.0,0.15950018125295173,6.269585351844193,0.3333333333333333,0.6666666666666666,0.0,-7.666666666666667,12.814921857827391,5.333333333333333,5.333333333333333,0.3333333333333333,0.3333333333333333
Q-learning,8x8,3,0,10000,8,8,64,3000,0,0.0,0.6982096000574529,1.7739139986224473e-05,56372.518666438235,1.0,0.0,0.0,4.0,3.559026084010437,7.0,7.0,1.0,1.0
MCTS,8x8,3,0,10000,8,8,64,0,200,0.5,0.0,0.1816588039929047,5.504825409062246,0.3333333333333333,0.6666666666666666,0.0,-10.666666666666666,14.383632673594278,8.333333333333334,7.0,0.3333333333333333,0.3333333333333333
Q-learning,8x8,3,1,10001,8,8,64,3000,0,0.0,0.7569824999663979,1.8247919995337724e-05,54800.7663479178,1.0,0.0,0.0,6.666666666666667,1.699673171197595,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,8x8,3,1,10001,8,8,64,0,200,0.5,0.0,0.12687421818687158,7.881821967384355,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,9.104333522498441,3.6666666666666665,4.333333333333333,0.6111111111111112,0.3333333333333333
Q-learning,8x8,3,2,10002,8,8,64,3000,0,0.0,0.6672295000171289,1.7624419997446238e-05,56739.455831448584,1.0,0.0,0.0,7.0,2.943920288775949,4.0,4.0,1.0,1.0
MCTS,8x8,3,2,10002,8,8,64,0,200,0.5,0.0,0.11707637777241568,8.541432687163384,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,10.873004286866728,3.0,4.0,0.6666666666666666,0.6666666666666666
Q-learning,8x8,4,0,10000,8,8,64,3000,0,0.0,0.4766327999532223,1.7130399984307588e-05,58375.75310068979,1.0,0.0,0.0,7.666666666666667,2.0548046676563256,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,8x8,4,0,10000,8,8,64,0,200,0.5,0.0,0.12222505998797714,8.181628220091415,1.0,0.0,0.0,7.666666666666667,2.0548046676563256,3.3333333333333335,3.3333333333333335,1.0,1.0
Q-learning,8x8,4,1,10001,8,8,64,3000,0,0.0,0.47509659989736974,1.7308559990487992e-05,57774.881362144224,1.0,0.0,0.0,5.0,1.4142135623730951,6.0,6.0,1.0,1.0
MCTS,8x8,4,1,10001,8,8,64,0,200,0.5,0.0,0.14351517144158216,6.967904437943343,0.3333333333333333,0.6666666666666666,0.0,-7.0,8.04155872120988,4.666666666666667,6.0,0.2380952380952381,0.0
Q-learning,8x8,4,2,10002,8,8,64,3000,0,0.0,0.4621434999862686,2.033551998902112e-05,49175.03956328074,1.0,0.0,0.0,5.0,3.559026084010437,6.0,6.0,1.0,1.0
MCTS,8x8,4,2,10002,8,8,64,0,200,0.5,0.0,0.1603884666858773,6.23486227322387,0.6666666666666666,0.3333333333333333,0.0,-2.6666666666666665,10.624918300339484,7.0,6.0,0.5384615384615384,0.3333333333333333
Q-learning,8x8,5,0,10000,8,8,64,3000,0,0.0,0.42687730002216995,1.725740002002567e-05,57946.156364202565,1.0,0.0,0.0,6.0,2.160246899469287,5.0,5.0,1.0,1.0
MCTS,8x8,5,0,10000,8,8,64,0,200,0.5,0.0,0.11501407779804948,8.694587820422091,0.3333333333333333,0.6666666666666666,0.0,-5.333333333333333,10.143416036468626,3.0,5.0,0.3333333333333333,0.3333333333333333
Q-learning,8x8,5,1,10001,8,8,64,3000,0,0.0,0.4211300000315532,1.7375880014151335e-05,57551.04197229585,1.0,0.0,0.0,7.333333333333333,1.699673171197595,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,8x8,5,1,10001,8,8,64,0,200,0.5,0.0,0.12082108181096952,8.276701259508243,1.0,0.0,0.0,7.333333333333333,1.699673171197595,3.6666666666666665,3.6666666666666665,1.0,1.0
Q-learning,8x8,5,2,10002,8,8,64,3000,0,0.0,0.40937869995832443,1.7008700012229382e-05,58793.4409614487,1.0,0.0,0.0,7.666666666666667,1.247219128924647,3.3333333333333335,3.3333333333333335,1.0,1.0
MCTS,8x8,5,2,10002,8,8,64,0,200,0.5,0.0,0.11023103330646539,9.071855447637784,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333,10.143416036468626,3.0,3.3333333333333335,0.6666666666666666,0.6666666666666666
Q-learning,8x8,6,0,10000,8,8,64,3000,0,0.0,0.6571031999774277,1.737605999223888e-05,57550.4458690092,1.0,0.0,0.0,2.3333333333333335,2.3570226039551585,8.666666666666666,8.666666666666666,1.0,1.0
MCTS,8x8,6,0,10000,8,8,64,0,200,0.5,0.0,0.15767822500007847,6.342029788827863,0.3333333333333333,0.6666666666666666,0.0,-10.333333333333334,11.440668201153676,8.0,8.666666666666666,0.3333333333333333,0.3333333333333333
Q-learning,8x8,6,1,10001,8,8,64,3000,0,0.0,0.6632622999604791,1.759252001065761e-05,56842.33977816689,1.0,0.0,0.0,7.333333333333333,2.0548046676563256,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,8x8,6,1,10001,8,8,64,0,200,0.5,0.0,0.09969248329677309,10.030846528550349,0.6666666666666666,0.3333333333333333,0.0,2.3333333333333335,8.806563209081938,2.0,3.6666666666666665,0.6666666666666666,0.6666666666666666
Q-learning,8x8,6,2,10002,8,8,64,3000,0,0.0,0.6483936000149697,1.6517139994539322e-05,60543.16911587641,1.0,0.0,0.0,3.6666666666666665,2.0548046676563256,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,8x8,6,2,10002,8,8,64,0,200,0.5,0.0,0.1252760400180705,7.9823723663020845,0.0,1.0,0.0,-12.333333333333334,1.8856180831641267,3.3333333333333335,7.333333333333333,0.0,0.0
Q-learning,8x8,7,0,10000,8,8,64,3000,0,0.0,0.9568677999777719,1.662419999483973e-05,60153.27055199091,1.0,0.0,0.0,-0.6666666666666666,2.0548046676563256,11.666666666666666,11.666666666666666,1.0,1.0
MCTS,8x8,7,0,10000,8,8,64,0,200,0.5,0.0,0.11943769999991426,8.372565781162212,0.0,1.0,0.0,-12.666666666666666,1.699673171197595,3.6666666666666665,11.666666666666666,0.0,0.0
Q-learning,8x8,7,1,10001,8,8,64,3000,0,0.0,0.9740248000016436,1.679792001377791e-05,59531.18000203506,1.0,0.0,0.0,1.0,2.160246899469287,10.0,10.0,1.0,1.0
MCTS,8x8,7,1,10001,8,8,64,0,200,0.5,0.0,0.159329312001355,6.276309032147805,0.0,1.0,0.0,-17.333333333333332,1.699673171197595,8.333333333333334,10.0,0.0,0.0
Q-learning,8x8,7,2,10002,8,8,64,3000,0,0.0,0.9537899000570178,1.657982000615448e-05,60314.28565743157,1.0,0.0,0.0,-0.6666666666666666,3.2998316455372216,11.666666666666666,11.666666666666666,1.0,1.0
MCTS,8x8,7,2,10002,8,8,64,0,200,0.5,0.0,0.1667080346109847,5.998511123555098,0.3333333333333333,0.6666666666666666,0.0,-11.0,10.23067283548187,8.666666666666666,11.666666666666666,0.2962962962962963,0.0
Q-learning,8x8,8,0,10000,8,8,64,3000,0,0.0,0.6773404000559822,1.677891998551786e-05,59598.59161752456,1.0,0.0,0.0,4.0,2.160246899469287,7.0,7.0,1.0,1.0
MCTS,8x8,8,0,10000,8,8,64,0,200,0.5,0.0,0.12952403333814194,7.720574894308223,0.3333333333333333,0.6666666666666666,0.0,-7.333333333333333,10.143416036468626,5.0,7.0,0.3333333333333333,0.3333333333333333
Q-learning,8x8,8,1,10001,8,8,64,3000,0,0.0,0.6666827000444755,1.7669579992070795e-05,56594.44086666174,1.0,0.0,0.0,1.3333333333333333,0.4714045207910317,9.666666666666666,9.666666666666666,1.0,1.0
MCTS,8x8,8,1,10001,8,8,64,0,200,0.5,0.0,0.13533539286748106,7.389050113292899,0.0,1.0,0.0,-13.666666666666666,1.699673171197595,4.666666666666667,9.666666666666666,0.0,0.0
Q-learning,8x8,8,2,10002,8,8,64,3000,0,0.0,0.6901273999828845,1.7511259997263552e-05,57106.11344679183,1.0,0.0,0.0,2.3333333333333335,2.0548046676563256,8.666666666666666,8.666666666666666,1.0,1.0
MCTS,8x8,8,2,10002,8,8,64,0,200,0.5,0.0,0.14002228664855162,7.141720249933827,0.0,1.0,0.0,-14.0,2.160246899469287,5.0,8.666666666666666,0.0,0.0
Q-learning,8x8,9,0,10000,8,8,64,3000,0,0.0,0.5532970000058413,1.726529998704791e-05,57919.64233173941,1.0,0.0,0.0,6.666666666666667,0.4714045207910317,4.333333333333333,4.333333333333333,1.0,1.0
MCTS,8x8,9,0,10000,8,8,64,0,200,0.5,0.0,0.12275205715559423,8.146502984731661,0.6666666666666666,0.3333333333333333,0.0,-0.3333333333333333,8.339997335464536,4.666666666666667,4.333333333333333,0.5714285714285715,0.3333333333333333
Q-learning,8x8,9,1,10001,8,8,64,3000,0,0.0,0.4968876000493765,1.7897999985143544e-05,55872.16453402964,1.0,0.0,0.0,3.6666666666666665,2.0548046676563256,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,8x8,9,1,10001,8,8,64,0,200,0.5,0.0,0.15435260454383257,6.47867266610343,0.6666666666666666,0.3333333333333333,0.0,-3.0,9.41629792788369,7.333333333333333,7.333333333333333,0.5666666666666667,0.3333333333333333
Q-learning,8x8,9,2,10002,8,8,64,3000,0,0.0,0.599782400066033,3.141252000350505e-05,31834.44053162302,1.0,0.0,0.0,5.666666666666667,2.0548046676563256,5.333333333333333,5.333333333333333,1.0,1.0
MCTS,8x8,9,2,10002,8,8,64,0,200,0.5,0.0,0.18353258333970895,5.448623790954076,0.6666666666666666,0.3333333333333333,0.0,-1.6666666666666667,10.338708279513881,6.0,5.333333333333333,0.5416666666666666,0.3333333333333333
Q-learning,8x8,10,0,10000,8,8,64,3000,0,0.0,0.7072224000003189,2.0608600019477307e-05,48523.43191943626,1.0,0.0,0.0,6.333333333333333,1.699673171197595,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,8x8,10,0,10000,8,8,64,0,200,0.5,0.0,0.1487700312427478,6.721783894555361,1.0,0.0,0.0,5.666666666666667,2.6246692913372702,5.333333333333333,4.666666666666667,0.9259259259259259,0.6666666666666666
Q-learning,8x8,10,1,10001,8,8,64,3000,0,0.0,0.6307864999398589,1.7954239994287492e-05,55697.150105945475,1.0,0.0,0.0,3.0,2.160246899469287,8.0,8.0,1.0,1.0
MCTS,8x8,10,1,10001,8,8,64,0,200,0.5,0.0,0.139830310002435,7.151525302222287,0.3333333333333333,0.6666666666666666,0.0,-5.666666666666667,6.847546194724712,3.3333333333333335,8.0,0.2380952380952381,0.0
Q-learning,8x8,10,2,10002,8,8,64,3000,0,0.0,0.6161726999562234,1.8046840000897646e-05,55411.3628729606,1.0,0.0,0.0,3.0,2.160246899469287,8.0,8.0,1.0,1.0
MCTS,8x8,10,2,10002,8,8,64,0,200,0.5,0.0,0.11451634289031583,8.73237805854317,0.0,1.0,0.0,-11.333333333333334,0.4714045207910317,2.3333333333333335,8.0,0.0,0.0
Q-learning,10x10,1,0,10000,10,10,100,3000,0,0.0,1.0031380999134853,1.763771998230368e-05,56696.670601603975,1.0,0.0,0.0,4.333333333333333,5.436502143433363,6.666666666666667,6.666666666666667,1.0,1.0
MCTS,10x10,1,0,10000,10,10,100,0,200,0.5,0.0,0.1922335750059574,5.202004904549113,0.6666666666666666,0.3333333333333333,0.0,-1.0,11.575836902790225,5.333333333333333,6.666666666666667,0.5714285714285715,0.3333333333333333
Q-learning,10x10,1,1,10001,10,10,100,3000,0,0.0,1.0013321000151336,1.8761659995652736e-05,53300.18773561135,1.0,0.0,0.0,3.0,2.160246899469287,8.0,8.0,1.0,1.0
MCTS,10x10,1,1,10001,10,10,100,0,200,0.5,0.0,0.21246986666616674,4.706549760165299,1.0,0.0,0.0,1.0,3.7416573867739413,10.0,8.0,0.8441558441558442,0.3333333333333333
Q-learning,10x10,1,2,10002,10,10,100,3000,0,0.0,0.9903549998998642,1.783040000591427e-05,56083.991366896094,1.0,0.0,0.0,1.6666666666666667,1.699673171197595,9.333333333333334,9.333333333333334,1.0,1.0
MCTS,10x10,1,2,10002,10,10,100,0,200,0.5,0.0,0.21872257142926432,4.572001844461688,0.6666666666666666,0.3333333333333333,0.0,-7.333333333333333,8.055363982396381,11.666666666666666,9.333333333333334,0.49275362318840576,0.3333333333333333
Q-learning,10x10,2,0,10000,10,10,100,3000,0,0.0,0.674320499994792,1.8085599993355574e-05,55292.60850441167,1.0,0.0,0.0,3.6666666666666665,3.39934634239519,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,10x10,2,0,10000,10,10,100,0,200,0.5,0.0,0.19591325000025486,5.104299989912367,0.6666666666666666,0.3333333333333333,0.0,-3.6666666666666665,8.178562764256865,8.0,7.333333333333333,0.5523809523809523,0.0
Q-learning,10x10,2,1,10001,10,10,100,3000,0,0.0,0.6773911999771371,1.7672019987367094e-05,56586.6268097735,1.0,0.0,0.0,4.333333333333333,1.8856180831641267,6.666666666666667,6.666666666666667,1.0,1.0
MCTS,10x10,2,1,10001,10,10,100,0,200,0.5,0.0,0.20347348076309293,4.91464536926222,1.0,0.0,0.0,2.3333333333333335,4.109609335312651,8.666666666666666,6.666666666666667,0.8571428571428571,0.6666666666666666
Q-learning,10x10,2,2,10002,10,10,100,3000,0,0.0,0.6897190000163391,1.845736000686884e-05,54178.92914413836,1.0,0.0,0.0,5.666666666666667,2.494438257849294,5.333333333333333,5.333333333333333,1.0,1.0
MCTS,10x10,2,2,10002,10,10,100,0,200,0.5,0.0,0.18630504666361958,5.367541126277356,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,8.65383665716478,5.0,5.333333333333333,0.6,0.3333333333333333
Q-learning,10x10,3,0,10000,10,10,100,3000,0,0.0,0.571565999998711,1.8016880005598067e-05,55503.50558416816,1.0,0.0,0.0,4.333333333333333,0.9428090415820634,6.666666666666667,6.666666666666667,1.0,1.0
MCTS,10x10,3,0,10000,10,10,100,0,200,0.5,0.0,0.195402747602202,5.117635305905653,0.3333333333333333,0.6666666666666666,0.0,-9.333333333333334,5.185449728701348,7.0,6.666666666666667,0.20512820512820515,0.0
Q-learning,10x10,3,1,10001,10,10,100,3000,0,0.0,0.5313642000546679,1.733538000844419e-05,57685.49633829156,1.0,0.0,0.0,6.0,0.816496580927726,5.0,5.0,1.0,1.0
MCTS,10x10,3,1,10001,10,10,100,0,200,0.5,0.0,0.18005397499655373,5.553890159987527,0.6666666666666666,0.3333333333333333,0.0,-2.3333333333333335,9.741092797468305,6.666666666666667,5.0,0.5833333333333334,0.3333333333333333
Q-learning,10x10,3,2,10002,10,10,100,3000,0,0.0,0.5147809999762103,1.760759998578578e-05,56793.65733020272,1.0,0.0,0.0,5.333333333333333,1.247219128924647,5.666666666666667,5.666666666666667,1.0,1.0
MCTS,10x10,3,2,10002,10,10,100,0,200,0.5,0.0,0.13720542223503193,7.288341697509644,0.3333333333333333,0.6666666666666666,0.0,-5.333333333333333,8.806563209081938,3.0,5.666666666666667,0.3333333333333333,0.3333333333333333
Q-learning,10x10,4,0,10000,10,10,100,3000,0,0.0,0.6266397000290453,1.7446179990656675e-05,57319.13808842689,1.0,0.0,0.0,3.6666666666666665,4.109609335312651,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,10x10,4,0,10000,10,10,100,0,200,0.5,0.0,0.1938826863558709,5.157758120621993,0.6666666666666666,0.3333333333333333,0.0,-3.0,12.96148139681572,7.333333333333333,7.333333333333333,0.6666666666666666,0.6666666666666666
Q-learning,10x10,4,1,10001,10,10,100,3000,0,0.0,0.6208147000288591,1.7138359998352825e-05,58348.64013220112,1.0,0.0,0.0,5.333333333333333,2.0548046676563256,5.666666666666667,5.666666666666667,1.0,1.0
MCTS,10x10,4,1,10001,10,10,100,0,200,0.5,0.0,0.1943127519963309,5.146342634367519,0.6666666666666666,0.3333333333333333,0.0,-4.0,12.96148139681572,8.333333333333334,5.666666666666667,0.5555555555555555,0.3333333333333333
Q-learning,10x10,4,2,10002,10,10,100,3000,0,0.0,0.6585473999148235,2.046527999918908e-05,48863.24545960887,1.0,0.0,0.0,7.333333333333333,1.699673171197595,3.6666666666666665,3.6666666666666665,1.0,1.0
MCTS,10x10,4,2,10002,10,10,100,0,200,0.5,0.0,0.15477086363402617,6.46116443702619,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,8.498365855987975,3.6666666666666665,3.6666666666666665,0.6190476190476191,0.3333333333333333
Q-learning,10x10,5,0,10000,10,10,100,3000,0,0.0,0.8240788999246433,1.7499580001458526e-05,57144.228599580885,1.0,0.0,0.0,3.3333333333333335,4.921607686744467,7.666666666666667,7.666666666666667,1.0,1.0
MCTS,10x10,5,0,10000,10,10,100,0,200,0.5,0.0,0.20493716314606564,4.879544464501376,0.3333333333333333,0.6666666666666666,0.0,-8.666666666666666,12.814921857827391,6.333333333333333,7.666666666666667,0.3333333333333333,0.3333333333333333
Q-learning,10x10,5,1,10001,10,10,100,3000,0,0.0,0.8135993999894708,1.73961800057441e-05,57483.884374029636,1.0,0.0,0.0,4.333333333333333,0.9428090415820634,6.666666666666667,6.666666666666667,1.0,1.0
MCTS,10x10,5,1,10001,10,10,100,0,200,0.5,0.0,0.1629740833434173,6.135944927469299,0.6666666666666666,0.3333333333333333,0.0,-1.6666666666666667,9.428090415820634,6.0,6.666666666666667,0.6666666666666666,0.6666666666666666
Q-learning,10x10,5,2,10002,10,10,100,3000,0,0.0,0.7855443999869749,1.7462439998053014e-05,57265.76584437774,1.0,0.0,0.0,5.0,1.632993161855452,6.0,6.0,1.0,1.0
MCTS,10x10,5,2,10002,10,10,100,0,200,0.5,0.0,0.16051499998138752,6.229947357667226,0.6666666666666666,0.3333333333333333,0.0,-1.0,8.640987597877148,5.333333333333333,6.0,0.6666666666666666,0.6666666666666666
Q-learning,10x10,6,0,10000,10,10,100,3000,0,0.0,0.6498851999640465,1.6896439995616675e-05,59184.064824272034,1.0,0.0,0.0,4.0,1.632993161855452,7.0,7.0,1.0,1.0
MCTS,10x10,6,0,10000,10,10,100,0,200,0.5,0.0,0.19422012609024736,5.148796986854672,0.6666666666666666,0.3333333333333333,0.0,-3.3333333333333335,6.847546194724712,7.666666666666667,7.0,0.5,0.3333333333333333
Q-learning,10x10,6,1,10001,10,10,100,3000,0,0.0,0.6768731999909505,1.773824000265449e-05,56375.37883410936,1.0,0.0,0.0,4.0,2.8284271247461903,7.0,7.0,1.0,1.0
MCTS,10x10,6,1,10001,10,10,100,0,200,0.5,0.0,0.19900692173826467,5.024950847263529,0.6666666666666666,0.3333333333333333,0.0,-3.3333333333333335,7.760297817881877,7.666666666666667,7.0,0.5952380952380952,0.3333333333333333
Q-learning,10x10,6,2,10002,10,10,100,3000,0,0.0,0.6854302000720054,1.8020960013382138e-05,55490.939398201466,1.0,0.0,0.0,3.3333333333333335,4.988876515698588,7.666666666666667,7.666666666666667,1.0,1.0
MCTS,10x10,6,2,10002,10,10,100,0,200,0.5,0.0,0.21922751248348504,4.561471270971669,1.0,0.0,0.0,3.0,5.354126134736337,8.0,7.666666666666667,0.9761904761904763,0.6666666666666666
Q-learning,10x10,7,0,10000,10,10,100,3000,0,0.0,0.905269299983047,1.8343880004249514e-05,54514.094061253214,1.0,0.0,0.0,3.6666666666666665,3.39934634239519,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,10x10,7,0,10000,10,10,100,0,200,0.5,0.0,0.2148151840083301,4.655164413150711,0.3333333333333333,0.6666666666666666,0.0,-10.666666666666666,12.657891697365017,8.333333333333334,7.333333333333333,0.2222222222222222,0.0
Q-learning,10x10,7,1,10001,10,10,100,3000,0,0.0,0.8477377999806777,1.825129999779165e-05,54790.61766126232,1.0,0.0,0.0,2.3333333333333335,2.6246692913372702,8.666666666666666,8.666666666666666,1.0,1.0
MCTS,10x10,7,1,10001,10,10,100,0,200,0.5,0.0,0.1514591700048186,6.6024394559153174,0.0,1.0,0.0,-12.333333333333334,1.699673171197595,3.3333333333333335,8.666666666666666,0.0,0.0
Q-learning,10x10,7,2,10002,10,10,100,3000,0,0.0,0.8930251999991015,1.778179998509586e-05,56237.276363369754,1.0,0.0,0.0,0.3333333333333333,2.494438257849294,10.666666666666666,10.666666666666666,1.0,1.0
MCTS,10x10,7,2,10002,10,10,100,0,200,0.5,0.0,0.2089444000030989,4.785962198485189,0.0,1.0,0.0,-16.666666666666668,2.8674417556808756,7.666666666666667,10.666666666666666,0.0,0.0
Q-learning,10x10,8,0,10000,10,10,100,3000,0,0.0,0.9155947000253946,1.777929998934269e-05,56245.1840398341,1.0,0.0,0.0,3.3333333333333335,4.189935029992179,7.666666666666667,7.666666666666667,1.0,1.0
MCTS,10x10,8,0,10000,10,10,100,0,200,0.5,0.0,0.23972903809321688,4.17137618351915,1.0,0.0,0.0,-3.0,11.775681155103795,14.0,7.666666666666667,0.7666666666666666,0.3333333333333333
Q-learning,10x10,8,1,10001,10,10,100,3000,0,0.0,0.8848741000983864,1.8498399993404746e-05,54058.72942289771,1.0,0.0,0.0,1.0,0.816496580927726,10.0,10.0,1.0,1.0
MCTS,10x10,8,1,10001,10,10,100,0,200,0.5,0.0,0.23785875778283097,4.204175660048712,1.0,0.0,0.0,-4.0,2.943920288775949,15.0,10.0,0.6847643097643098,0.0
Q-learning,10x10,8,2,10002,10,10,100,3000,0,0.0,1.0010731000220403,1.9883300014771523e-05,50293.46231546519,1.0,0.0,0.0,3.0,2.943920288775949,8.0,8.0,1.0,1.0
MCTS,10x10,8,2,10002,10,10,100,0,200,0.5,0.0,0.20779580368953585,4.8124167198972065,1.0,0.0,0.0,2.0,4.08248290463863,9.0,8.0,0.9285714285714285,0.6666666666666666
Q-learning,10x10,9,0,10000,10,10,100,3000,0,0.0,0.7035438000457361,1.8106159986928107e-05,55229.82237658114,1.0,0.0,0.0,4.666666666666667,4.0276819911981905,6.333333333333333,6.333333333333333,1.0,1.0
MCTS,10x10,9,0,10000,10,10,100,0,200,0.5,0.0,0.15209545002047284,6.574818640961284,0.3333333333333333,0.6666666666666666,0.0,-6.333333333333333,10.208928554075703,4.0,6.333333333333333,0.3333333333333333,0.3333333333333333
Q-learning,10x10,9,1,10001,10,10,100,3000,0,0.0,0.6852842000080273,1.671368000097573e-05,59831.22806836203,1.0,0.0,0.0,6.333333333333333,1.8856180831641267,4.666666666666667,4.666666666666667,1.0,1.0
MCTS,10x10,9,1,10001,10,10,100,0,200,0.5,0.0,0.19249665384771875,5.194895495643707,1.0,0.0,0.0,2.3333333333333335,6.236095644623235,8.666666666666666,4.666666666666667,0.7366946778711485,0.3333333333333333
Q-learning,10x10,9,2,10002,10,10,100,3000,0,0.0,0.6871593999676406,1.8396719987504185e-05,54357.51594193104,1.0,0.0,0.0,6.0,2.160246899469287,5.0,5.0,1.0,1.0
MCTS,10x10,9,2,10002,10,10,100,0,200,0.5,0.0,0.13953328886741978,7.166748581051286,0.3333333333333333,0.6666666666666666,0.0,-5.333333333333333,10.208928554075703,3.0,5.0,0.3333333333333333,0.3333333333333333
Q-learning,10x10,10,0,10000,10,10,100,3000,0,0.0,0.7085855000186712,1.674759997986257e-05,59710.04807867437,1.0,0.0,0.0,3.3333333333333335,1.8856180831641267,7.666666666666667,7.666666666666667,1.0,1.0
MCTS,10x10,10,0,10000,10,10,100,0,200,0.5,0.0,0.19417785186561998,5.149917925202129,0.3333333333333333,0.6666666666666666,0.0,-11.333333333333334,9.177266598624136,9.0,7.666666666666667,0.3,0.0
Q-learning,10x10,10,1,10001,10,10,100,3000,0,0.0,0.7008456999901682,1.792362001724541e-05,55792.3008319658,1.0,0.0,0.0,3.3333333333333335,4.988876515698588,7.666666666666667,7.666666666666667,1.0,1.0
MCTS,10x10,10,1,10001,10,10,100,0,200,0.5,0.0,0.20826466923776585,4.801582542348302,0.3333333333333333,0.6666666666666666,0.0,-11.0,15.513435037626795,8.666666666666666,7.666666666666667,0.3333333333333333,0.3333333333333333
Q-learning,10x10,10,2,10002,10,10,100,3000,0,0.0,0.7229502000845969,1.745341999921948e-05,57295.361026361614,1.0,0.0,0.0,3.6666666666666665,1.247219128924647,7.333333333333333,7.333333333333333,1.0,1.0
MCTS,10x10,10,2,10002,10,10,100,0,200,0.5,0.0,0.19659438697398518,5.0866152151756365,0.0,1.0,0.0,-16.666666666666668,4.4969125210773475,7.666666666666667,7.333333333333333,0.0,0.0
