episode,episode_return,episode_length,epsilon,mean_loss,outcome
1,-10.0,1,1.0,,ghost
2,-40.0,40,0.995,,timeout
3,-14.0,5,0.990025,,ghost
4,-13.0,4,0.985074875,,ghost
5,-36.0,27,0.9801495006250001,0.7751197602067675,ghost
6,-24.0,15,0.9752487531218751,0.5820013840993246,ghost
7,-9.0,20,0.9703725093562657,0.48719564378261565,dot
8,-40.0,40,0.9655206468094844,0.4016146555542946,timeout
9,-12.0,3,0.960693043575437,0.22755479315916696,ghost
10,-41.0,32,0.9558895783575597,0.46566946734674275,ghost
11,-11.0,2,0.9511101304657719,0.31340426206588745,ghost
12,10.0,1,0.946354579813443,0.9064439535140991,dot
13,3.0,8,0.9416228069143757,0.36607135459780693,dot
14,-23.0,34,0.9369146928798039,0.3845880960716921,dot
15,-40.0,40,0.9322301194154049,0.4722826961427927,timeout
16,-40.0,40,0.9275689688183278,0.3281825318932533,timeout
17,-37.0,28,0.9229311239742362,0.3067368473857641,ghost
18,-11.0,2,0.918316468354365,0.1947675123810768,ghost
19,-18.0,9,0.9137248860125932,0.3638911806046963,ghost
20,-40.0,40,0.9091562615825302,0.34672644594684243,timeout
21,-40.0,40,0.9046104802746175,0.2918747403891757,timeout
22,9.0,2,0.9000874278732445,0.3810025155544281,dot
23,4.0,7,0.8955869907338783,0.27228884186063496,dot
24,-40.0,40,0.8911090557802088,0.28185165571048854,timeout
25,1.0,10,0.8866535105013078,0.2995215691626072,dot
26,-40.0,40,0.8822202429488013,0.22794670513831078,timeout
27,-12.0,3,0.8778091417340573,0.07629468478262424,ghost
28,-13.0,4,0.8734200960253871,0.24562071077525616,ghost
29,10.0,1,0.8690529955452602,0.24717359244823456,dot
30,-40.0,40,0.8647077305675338,0.2934704248444177,timeout
31,-11.0,2,0.8603841919146962,0.20690973848104477,ghost
32,-40.0,40,0.8560822709551227,0.23983729924075306,timeout
33,9.0,2,0.851801859600347,0.31542981415987015,dot
34,0.0,11,0.8475428503023453,0.21829019486904144,dot
35,-19.0,10,0.8433051360508336,0.22894317246973514,ghost
36,8.0,3,0.8390886103705794,0.21262387931346893,dot
37,-7.0,18,0.8348931673187264,0.23783310916688707,dot
38,-30.0,21,0.8307187014821328,0.2912384143897465,ghost
39,0.0,11,0.8265651079747222,0.24742536720904437,dot
40,9.0,2,0.8224322824348486,0.25501398742198944,dot
41,-27.0,18,0.8183201210226743,0.22840643322302234,ghost
42,-17.0,8,0.8142285204175609,0.2557053305208683,ghost
43,-13.0,4,0.810157377815473,0.2823798209428787,ghost
44,-18.0,9,0.8061065909263957,0.21131438456682694,ghost
45,-27.0,38,0.8020760579717637,0.27914860594625535,dot
46,-21.0,32,0.798065677681905,0.21018705258029513,dot
47,-31.0,22,0.7940753492934954,0.16726744699884544,ghost
48,10.0,1,0.7901049725470279,0.1596394181251526,dot
49,-40.0,40,0.7861544476842928,0.26377910785377023,timeout
50,-15.0,6,0.7822236754458713,0.37925316641728085,ghost
51,-40.0,40,0.778312557068642,0.2085939452983439,timeout
52,-11.0,2,0.7744209942832988,0.07668290100991726,ghost
53,-20.0,11,0.7705488893118823,0.18164140595631165,ghost
54,5.0,6,0.7666961448653229,0.1766357923236986,dot
55,5.0,6,0.7628626641409962,0.12397052720189095,dot
56,6.0,5,0.7590483508202912,0.1798642784357071,dot
57,8.0,3,0.7552531090661897,0.13343301167090735,dot
58,-13.0,24,0.7514768435208588,0.28290814145778614,dot
59,9.0,2,0.7477194593032545,0.40272940695285797,dot
60,-16.0,7,0.7439808620067382,0.25938303768634796,ghost
61,9.0,2,0.7402609576967045,0.20221276581287384,dot
62,-24.0,15,0.736559652908221,0.18566234012444813,ghost
63,8.0,3,0.7328768546436799,0.1296399086713791,dot
64,7.0,4,0.7292124703704616,0.10406109597533941,dot
65,-17.0,8,0.7255664080186093,0.06230427697300911,ghost
