grid,layout,rows,cols,n_states,seed,training_episodes,training_time_seconds,episodes_per_second,success_rate,ghost_rate,timeout_rate,mean_return,return_std,mean_steps,mean_optimal_steps,mean_efficiency_ratio,optimal_path_rate
4x5,8,4,5,20,1,3000,0.34564910002518445,8679.322468310827,1.0,0.0,0.0,7.86,1.6971741218861427,3.14,3.14,1.0,1.0
4x5,8,4,5,20,2,3000,0.3193021999904886,9395.488036378592,1.0,0.0,0.0,7.59,1.625392260348252,3.41,3.41,1.0,1.0
4x5,8,4,5,20,3,3000,0.29549409996252507,10152.486971416565,1.0,0.0,0.0,7.575,1.6626409714667805,3.425,3.425,1.0,1.0
4x5,8,4,5,20,4,3000,0.31724239990580827,9456.491316705218,1.0,0.0,0.0,7.57,1.671855256892773,3.43,3.43,1.0,1.0
4x5,9,4,5,20,0,3000,0.39124369993805885,7667.855100222587,1.0,0.0,0.0,6.945,1.7441258555505679,4.055,4.055,1.0,1.0
4x5,9,4,5,20,1,3000,0.37985999998636544,7897.646501626075,1.0,0.0,0.0,6.705,1.8676121117619686,4.295,4.295,1.0,1.0
4x5,9,4,5,20,2,3000,0.3720083999214694,8064.334032869411,1.0,0.0,0.0,6.875,1.7260866142809868,4.125,4.125,1.0,1.0
4x5,9,4,5,20,3,3000,0.39820300007704645,7533.845800808994,1.0,0.0,0.0,6.79,1.840081519933288,4.21,4.21,1.0,1.0
4x5,9,4,5,20,4,3000,0.3998407000908628,7502.988063291849,1.0,0.0,0.0,6.815,1.6884238212013,4.185,4.185,1.0,1.0
4x5,10,4,5,20,0,3000,0.3379725000122562,8876.46184198776,1.0,0.0,0.0,7.59,1.6558683522550939,3.41,3.41,1.0,1.0
4x5,10,4,5,20,1,3000,0.32523349998518825,9224.142039908636,1.0,0.0,0.0,7.355,1.6670257946414624,3.645,3.645,1.0,1.0
4x5,10,4,5,20,2,3000,0.32814869994763285,9142.196816500418,1.0,0.0,0.0,7.61,1.696437443585822,3.39,3.39,1.0,1.0
4x5,10,4,5,20,3,3000,0.30894279992207885,9710.535415477092,1.0,0.0,0.0,7.515,1.6491740356918065,3.485,3.485,1.0,1.0
4x5,10,4,5,20,4,3000,0.31906610005535185,9402.440433125166,1.0,0.0,0.0,7.73,1.5514831613652789,3.27,3.27,1.0,1.0
6x6,1,6,6,36,0,3000,0.4607478000689298,6511.154257385901,1.0,0.0,0.0,6.045,2.6576258201635534,4.955,4.955,1.0,1.0
6x6,1,6,6,36,1,3000,0.5184093998977914,5786.932105381334,1.0,0.0,0.0,5.87,2.55207758502754,5.13,5.13,1.0,1.0
6x6,1,6,6,36,2,3000,0.4848998000379652,6186.845199286771,1.0,0.0,0.0,5.91,2.498379474779602,5.09,5.09,1.0,1.0
6x6,1,6,6,36,3,3000,0.456158300046809,6576.664284508585,1.0,0.0,0.0,6.17,2.5280624992274223,4.83,4.83,1.0,1.0
6x6,1,6,6,36,4,3000,0.4578432000707835,6552.461627771678,1.0,0.0,0.0,5.945,2.5713760907342977,5.055,5.055,1.0,1.0
6x6,2,6,6,36,0,3000,0.34682630002498627,8649.86305762819,1.0,0.0,0.0,7.425,1.863967542635869,3.575,3.575,1.0,1.0
6x6,2,6,6,36,1,3000,0.34132010000757873,8789.403260849236,1.0,0.0,0.0,7.28,1.6767826334978544,3.72,3.72,1.0,1.0
6x6,2,6,6,36,2,3000,0.39791479997802526,7539.302383740625,1.0,0.0,0.0,7.495,1.8681474781183633,3.505,3.505,1.0,1.0
6x6,2,6,6,36,3,3000,0.45189930009655654,6638.64714851073,1.0,0.0,0.0,7.485,1.7831923620294026,3.515,3.515,1.0,1.0
6x6,2,6,6,36,4,3000,0.39423990005161613,7609.579851271327,1.0,0.0,0.0,7.37,1.9372919243108406,3.63,3.63,1.0,1.0
6x6,3,6,6,36,0,3000,0.34423589997459203,8714.953902894582,1.0,0.0,0.0,7.42,1.787064632295094,3.58,3.58,1.0,1.0
6x6,3,6,6,36,1,3000,0.3427837999770418,8751.872171908146,1.0,0.0,0.0,7.19,1.7702824633374188,3.81,3.81,1.0,1.0
6x6,3,6,6,36,2,3000,0.3705602999543771,8095.848368995156,1.0,0.0,0.0,7.41,1.7526836565678359,3.59,3.59,1.0,1.0
6x6,3,6,6,36,3,3000,0.5127547999145463,5850.749716043551,1.0,0.0,0.0,7.39,1.6875722206767922,3.61,3.61,1.0,1.0
